Unique Key,Created Date,Closed Date,Agency,Agency Name,Complaint Type,Descriptor,Location Type,Incident Zip,Incident Address,Street Name,Cross Street 1,Cross Street 2,Intersection Street 1,Intersection Street 2,Address Type,City,Landmark,Facility Type,Status,Due Date,Resolution Description,Resolution Action Updated Date,Community Board,BBL,Borough,X Coordinate (State Plane),Y Coordinate (State Plane),Open Data Channel Type,Park Facility Name,Park Borough,Vehicle Type,Taxi Company Borough,Taxi Pick Up Location,Bridge Highway Name,Bridge Highway Direction,Road Ramp,Bridge Highway Segment,Latitude,Longitude,Location,relevant_infraction,preceding_year,preceding_month
26265090,09/07/2013 01:20:24 AM,09/07/2013 06:17:11 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11205,459 MYRTLE AVENUE,MYRTLE AVENUE,WAVERLY AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,09/07/2013 09:20:24 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,09/07/2013 06:17:11 AM,02 BROOKLYN,3018890090.0,BROOKLYN,993373.0,191875.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.693324622028854,-73.96710163160839,"(40.69332462202885, -73.96710163160839)",True,True,False
26377323,09/25/2013 12:00:00 AM,09/27/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,GENERAL CONSTRUCTION,GAS,RESIDENTIAL BUILDING,11205,459 MYRTLE AVENUE,MYRTLE AVENUE,WAVERLY AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,09/27/2013 12:00:00 AM,02 BROOKLYN,3018890090.0,BROOKLYN,993373.0,191875.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.693324622028854,-73.96710163160839,"(40.69332462202885, -73.96710163160839)",False,True,False
26378921,09/25/2013 12:00:00 AM,09/27/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,PLUMBING,WATER-SUPPLY,RESIDENTIAL BUILDING,11205,459 MYRTLE AVENUE,MYRTLE AVENUE,WAVERLY AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,09/27/2013 12:00:00 AM,02 BROOKLYN,3018890090.0,BROOKLYN,993373.0,191875.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.693324622028854,-73.96710163160839,"(40.69332462202885, -73.96710163160839)",True,True,False
26379969,09/25/2013 12:00:00 AM,09/27/2013 12:00:00 AM,HPD,Department of Housing Preservation and Development,ELECTRIC,ELECTRIC-SUPPLY,RESIDENTIAL BUILDING,11205,459 MYRTLE AVENUE,MYRTLE AVENUE,WAVERLY AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,,Closed,,The Department of Housing Preservation and Development inspected the following conditions. No violations were issued. The complaint has been closed.,09/27/2013 12:00:00 AM,02 BROOKLYN,3018890090.0,BROOKLYN,993373.0,191875.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.693324622028854,-73.96710163160839,"(40.69332462202885, -73.96710163160839)",False,True,False
26483345,10/15/2013 12:47:49 AM,10/15/2013 02:28:11 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11205,459 MYRTLE AVENUE,MYRTLE AVENUE,WAVERLY AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/15/2013 08:47:49 AM,The Police Department responded to the complaint and took action to fix the condition.,10/15/2013 02:28:11 AM,02 BROOKLYN,3018890090.0,BROOKLYN,993373.0,191875.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.693324622028854,-73.96710163160839,"(40.69332462202885, -73.96710163160839)",True,True,False
26514663,10/19/2013 11:26:17 PM,10/20/2013 12:47:43 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11205,459 MYRTLE AVENUE,MYRTLE AVENUE,WAVERLY AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/20/2013 07:26:17 AM,The Police Department responded to the complaint and with the information available observed no evidence of the violation at that time.,10/20/2013 12:47:43 AM,02 BROOKLYN,3018890090.0,BROOKLYN,993373.0,191875.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.693324622028854,-73.96710163160839,"(40.69332462202885, -73.96710163160839)",True,True,True
26516133,10/19/2013 03:28:20 AM,10/19/2013 04:50:59 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11205,459 MYRTLE AVENUE,MYRTLE AVENUE,WAVERLY AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/19/2013 11:28:20 AM,The Police Department responded to the complaint and took action to fix the condition.,10/19/2013 04:50:59 AM,02 BROOKLYN,3018890090.0,BROOKLYN,993373.0,191875.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.693324622028854,-73.96710163160839,"(40.69332462202885, -73.96710163160839)",True,True,True
26554758,10/25/2013 01:46:44 AM,10/25/2013 02:36:56 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11205,459 MYRTLE AVENUE,MYRTLE AVENUE,WAVERLY AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/25/2013 09:46:44 AM,The Police Department responded to the complaint and took action to fix the condition.,10/25/2013 02:36:56 AM,02 BROOKLYN,3018890090.0,BROOKLYN,993373.0,191875.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.693324622028854,-73.96710163160839,"(40.69332462202885, -73.96710163160839)",True,True,True
26505969,10/17/2013 11:26:50 PM,10/18/2013 01:38:59 AM,NYPD,New York City Police Department,Noise - Commercial,Banging/Pounding,Club/Bar/Restaurant,11205,459 MYRTLE AVENUE,MYRTLE AVENUE,WAVERLY AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/18/2013 07:26:50 AM,The Police Department responded to the complaint and took action to fix the condition.,10/18/2013 01:39:00 AM,02 BROOKLYN,3018890090.0,BROOKLYN,993373.0,191875.0,ONLINE,Unspecified,BROOKLYN,,,,,,,,40.693324622028854,-73.96710163160839,"(40.69332462202885, -73.96710163160839)",True,True,True
26566141,10/27/2013 01:13:07 AM,10/27/2013 01:59:29 AM,NYPD,New York City Police Department,Noise - Commercial,Loud Music/Party,Club/Bar/Restaurant,11205.0,459 MYRTLE AVENUE,MYRTLE AVENUE,WAVERLY AVENUE,WASHINGTON AVENUE,,,ADDRESS,BROOKLYN,,Precinct,Closed,10/27/2013 09:13:07 AM,The Police Department responded to the complaint and took action to fix the condition.,10/27/2013 01:59:29 AM,02 BROOKLYN,3018890090.0,BROOKLYN,993373.0,191875.0,PHONE,Unspecified,BROOKLYN,,,,,,,,40.693324622028854,-73.96710163160839,"(40.69332462202885, -73.96710163160839)",True,True,True
